Holding Ticker,Weight
AAPL ,8.832
MSFT ,8.349
NVDA ,7.182
AMZN ,5.656
AVGO ,3.539
META ,3.45
COST ,3.124
NFLX ,2.811
TSLA ,2.716
GOOGL ,2.651
GOOG ,2.535
TMUS ,2.175
CSCO ,1.666
LIN ,1.59
PEP ,1.544
PLTR ,1.278
ISRG ,1.237
AMGN ,1.214
INTU ,1.205
ADBE ,1.166
QCOM ,1.082
BKNG ,1.079
AMD ,1.067
TXN ,1.058
GILD ,1.026
CMCSA ,0.967
HON ,0.953
VRTX ,0.936
ADP ,0.894
AMAT ,0.792
PANW ,0.781
MELI ,0.717
SBUX ,0.716
INTC ,0.66
MDLZ ,0.659
ADI ,0.627
ORLY ,0.611
CTAS ,0.59
KLAC ,0.588
LRCX ,0.582
CRWD ,0.578
MU ,0.554
MSTR ,0.536
PDD ,0.535
APP ,0.521
FTNT ,0.5
DASH ,0.494
CDNS ,0.49
REGN ,0.473
SNPS ,0.461
MAR ,0.454
ROP ,0.447
PYPL ,0.443
AEP ,0.428
MNST ,0.427
ASML ,0.42
CEG ,0.411
ADSK ,0.405
CPRT ,0.404
PAYX ,0.396
CSX ,0.396
CHTR ,0.369
PCAR ,0.366
WDAY ,0.357
ABNB ,0.354
KDP ,0.352
EXC ,0.35
ROST ,0.33
MRVL ,0.329
FAST ,0.328
NXPI ,0.313
VRSK ,0.307
AZN ,0.306
XEL ,0.299
CCEP ,0.297
AXON ,0.292
FANG ,0.274
KHC ,0.272
EA ,0.271
BKR ,0.269
TTWO ,0.264
CTSH ,0.261
ODFL ,0.248
IDXX ,0.246
TEAM ,0.236
LULU ,0.235
CSGP ,0.228
DDOG ,0.214
GEHC ,0.213
ZS ,0.206
ANSS ,0.193
DXCM ,0.179
TTD ,0.161
WBD ,0.152
MCHP ,0.15
CDW ,0.147
BIIB ,0.138
GFS ,0.134
ON ,0.109
MDB ,0.088
ARM ,0.088
