Date,Open,High,Low,Close,AdjClose,Volume
Dec31-2024,81.80,82.16,78.68,79.13,79.13,52-588-800
Dec30-2024,81.20,83.06,79.41,81.26,81.26,51-422-000
Dec27-2024,86.37,86.59,82.28,84.66,84.66,51-069-500
Dec26-2024,87.62,89.08,86.59,88.25,88.25,29-531-000
Dec24-2024,85.95,88.48,85.64,88.44,88.44,24-069-800
Dec23-2024,83.45,85.24,81.83,85.06,85.06,41-822-900
Dec20-2024,79.06,85.86,78.50,83.03,82.75,72-620-500
Dec19-2024,84.27,84.53,80.75,80.93,80.66,56-658-800
Dec18-2024,91.65,92.57,81.29,82.09,81.82,67-424-600
Dec17-2024,92.33,92.91,91.17,92.04,91.74,34-584-100
Dec16-2024,90.72,93.79,90.67,93.29,92.98,34-983-800
Dec13-2024,89.42,90.77,87.85,89.40,89.10,39-831-800
Dec12-2024,88.13,88.77,87.28,87.52,87.23,33-174-200
Dec11-2024,86.88,89.62,86.68,89.29,88.99,37-448-900
Dec10-2024,86.25,87.12,84.05,84.76,84.48,35-770-800
Dec9-2024,87.25,87.66,85.08,85.69,85.41,34-788-800
Dec6-2024,85.78,87.87,85.72,87.74,87.45,31-370-300
Dec5-2024,86.25,86.64,85.34,85.54,85.26,27-010-200
Dec4-2024,84.87,86.37,84.51,86.25,85.96,34-996-300
Dec3-2024,81.80,83.33,81.53,83.21,82.93,42-405-400
Dec2-2024,80.48,82.95,80.29,82.48,82.21,36-819-100
Nov29-2024,78.13,80.17,77.85,79.89,79.63,20-432-900
Nov27-2024,79.29,79.31,76.33,77.90,77.64,39-231-800
Nov26-2024,79.29,80.25,78.89,79.83,79.57,34-873-600
Nov25-2024,80.16,80.87,77.54,78.61,78.35,45-757-900
Nov22-2024,77.64,78.61,76.88,78.25,77.99,39-967-400
Nov21-2024,78.55,78.88,74.56,77.96,77.70,54-932-800
Nov20-2024,77.15,77.29,74.11,77.20,76.94,50-630-300
Nov19-2024,74.55,77.55,74.42,77.29,77.03,40-044-100
Nov18-2024,74.93,76.74,74.31,75.77,75.52,38-982-600
Nov15-2024,77.27,77.45,73.29,74.27,74.02,60-300-800
Nov14-2024,81.59,82.03,79.62,80.06,79.79,38-825-700
Nov13-2024,81.86,83.09,80.68,81.79,81.52,37-494-500
Nov12-2024,82.54,82.97,80.65,82.15,81.88,34-143-000
Nov11-2024,83.33,83.43,81.18,82.60,82.33,35-403-000
Nov8-2024,82.22,83.11,81.91,82.75,82.48,35-030-000
Nov7-2024,80.16,82.93,80.10,82.55,82.28,49-772-600
Nov6-2024,76.66,79.22,76.19,78.86,78.60,59-397-100
Nov5-2024,70.95,73.24,70.92,72.94,72.70,39-676-300
Nov4-2024,70.64,71.76,69.51,70.27,70.04,41-107-200
Nov1-2024,70.08,72.36,69.97,70.93,70.70,48-339-400
Oct31-2024,73.31,73.33,69.43,69.45,69.22,69-452-600
Oct30-2024,76.55,76.98,74.94,75.17,74.92,40-236-600
Oct29-2024,74.93,77.46,74.07,76.88,76.63,39-272-600
Oct28-2024,76.19,76.19,74.66,74.81,74.56,34-581-100
Oct25-2024,74.70,77.00,74.39,74.74,74.49,57-413-000
Oct24-2024,73.42,73.80,72.24,73.50,73.26,39-306-400
Oct23-2024,74.17,74.47,70.28,71.79,71.55,59-086-100
Oct22-2024,73.81,75.95,73.46,75.27,75.02,38-154-000
Oct21-2024,74.06,75.42,73.18,75.05,74.80,37-497-900
Oct18-2024,74.46,75.15,74.13,74.64,74.39,32-075-800
Oct17-2024,75.58,75.60,73.25,73.34,73.10,48-848-900
Oct16-2024,73.24,73.49,71.67,73.12,72.88,35-392-100
Oct15-2024,76.35,76.65,72.14,73.16,72.92,53-153-800
Oct14-2024,75.44,76.82,75.21,76.20,75.95,33-845-600
Oct11-2024,73.17,74.80,72.90,74.30,74.05,35-367-600
Oct10-2024,73.32,74.95,72.72,74.11,73.86,43-030-300
Oct9-2024,72.52,74.63,72.06,74.37,74.12,39-348-100
Oct8-2024,70.66,72.98,70.31,72.62,72.38,38-957-000
Oct7-2024,71.05,71.58,69.06,69.60,69.37,41-201-700
Oct4-2024,72.00,72.16,69.78,71.97,71.73,55-350-200
Oct3-2024,68.73,70.81,68.39,69.52,69.29,48-874-700
Oct2-2024,69.01,70.54,67.87,69.68,69.45,39-559-700
Oct1-2024,72.28,72.43,67.70,69.42,69.19,67-380-100
Sep30-2024,71.46,72.62,70.18,72.49,72.25,42-931-400
Sep27-2024,73.62,73.66,71.39,71.93,71.69,41-465-300
Sep26-2024,74.92,75.07,71.58,73.19,72.95,53-501-600
Sep25-2024,71.14,72.49,71.06,71.67,71.43,32-362-400
Sep24-2024,71.28,72.09,69.38,71.65,71.18,40-629-800
Sep23-2024,70.62,71.15,70.04,70.65,70.19,34-918-500
Sep20-2024,70.15,70.68,68.31,70.13,69.67,48-379-800
Sep19-2024,70.30,71.80,69.41,70.58,70.12,57-400-700
Sep18-2024,67.02,68.76,65.39,65.62,65.19,83-198-100
Sep17-2024,67.70,68.26,65.47,66.49,66.06,51-557-200
Sep16-2024,66.42,66.71,65.03,66.45,66.02,41-165-500
Sep13-2024,66.15,67.87,66.05,67.35,66.91,43-983-300
Sep12-2024,64.63,66.89,63.89,66.48,66.05,55-173-500
Sep11-2024,61.18,64.95,57.77,64.57,64.15,81-737-600
Sep10-2024,59.78,60.92,58.20,60.70,60.30,45-791-200
Sep9-2024,58.57,59.49,57.34,59.11,58.73,55-417-500
Sep6-2024,61.61,61.97,56.72,56.99,56.62,84-952-300
Sep5-2024,61.14,63.72,60.72,62.02,61.62,55-085-800
Sep4-2024,61.04,63.37,60.65,61.82,61.42,48-399-200
Sep3-2024,67.26,67.32,61.29,62.35,61.94,73-786-300
Aug30-2024,68.12,68.87,66.18,68.61,68.16,46-473-400
Aug29-2024,67.45,69.43,65.79,66.35,65.92,60-016-800
Aug28-2024,68.80,69.12,65.16,66.70,66.27,59-312-900
Aug27-2024,67.73,69.50,66.85,69.04,68.59,35-766-300
Aug26-2024,70.27,70.67,67.53,68.46,68.01,42-490-700
Aug23-2024,70.20,71.72,68.50,70.53,70.07,64-376-600
Aug22-2024,72.86,73.16,67.92,68.38,67.93,63-748-200
Aug21-2024,71.18,72.66,70.42,71.83,71.36,51-500-400
Aug20-2024,70.90,72.06,70.09,70.86,70.40,48-929-500
Aug19-2024,68.68,71.35,67.89,71.30,70.84,45-799-900
Aug16-2024,67.62,69.26,67.19,68.64,68.19,44-837-600
Aug15-2024,66.13,68.63,65.99,68.46,68.01,53-212-400
Aug14-2024,63.99,64.64,61.87,63.67,63.26,62-355-300
Aug13-2024,60.96,63.71,60.90,63.56,63.15,54-481-400
Aug12-2024,59.23,60.40,58.11,59.25,58.86,54-486-300
