Date,Close,Volume,Open,High,Low
2025-04-04,41.09,258026700,45.99,46.78,41.03
2025-04-03,50.30,140115700,52.43,53.83,50.11
2025-04-02,59.93,123087400,56.19,61.20,56.09
2025-04-01,58.62,97098170,56.68,58.9901,55.62
2025-03-31,57.30,106854500,54.72,57.628,53.04
2025-03-28,57.34,103632100,61.54,61.81,56.97
2025-03-27,62.30,72368040,62.60,64.23,61.75
2025-03-26,63.38,79567690,66.64,66.99,62.76
2025-03-25,67.31,55569700,66.48,67.3701,66.09
2025-03-24,66.13,63411500,65.06,66.53,64.815
2025-03-21,62.18,80490980,59.53,62.415,59.0727
2025-03-20,61.60,88409060,60.66,63.63,60.37
2025-03-19,62.24,92593160,60.68,63.91,59.94
2025-03-18,59.91,87826230,61.77,61.78,59.01
2025-03-17,63.09,90150370,61.88,64.2799,61.15
2025-03-14,61.89,99108540,59.71,62.23,59.50
2025-03-13,57.79,121227300,60.80,60.85,57.04
2025-03-12,61.13,141918600,61.94,62.66,59.16
2025-03-11,59.11,139489300,59.40,61.85,57.3707
2025-03-10,59.81,156135800,64.00,64.19,57.88
2025-03-07,67.41,135177300,65.56,68.01,62.89
2025-03-06,66.04,122822700,68.39,70.4962,65.1716
2025-03-05,72.01,100633300,69.55,72.685,67.49
2025-03-04,69.31,130836900,68.76,72.77,66.01
2025-03-03,70.08,91945840,76.37,77.05,68.435
2025-02-28,74.92,93178970,71.46,75.17,70.075
2025-02-27,71.64,103375500,79.72,80.17,71.48
2025-02-26,78.12,63175730,78.58,80.4499,76.69
2025-02-25,77.62,75597230,80.33,80.38,75.78
2025-02-24,80.70,53233730,84.50,85.05,80.50
2025-02-21,83.71,59313610,89.77,89.79,83.47
2025-02-20,89.30,40133030,90.05,90.23,86.89
2025-02-19,90.40,34257890,90.00,91.12,88.92
2025-02-18,90.39,34412580,90.63,90.75,88.75
2025-02-14,89.83,38028740,88.81,90.18,88.60
2025-02-13,88.79,46460080,85.98,88.955,85.58
2025-02-12,85.20,48493300,82.28,85.605,82.10
2025-02-11,85.03,31301400,84.07,85.99,84.01
2025-02-10,85.64,32797060,84.73,86.20,84.50
2025-02-07,82.73,55435240,86.26,87.19,82.3513
2025-02-06,86.01,38215510,84.96,86.13,84.1948
2025-02-05,84.74,39847430,82.35,84.82,81.76
2025-02-04,83.65,42317270,80.91,83.938,80.73
2025-02-03,80.72,76628490,78.53,81.99,77.34
2025-01-31,82.72,59334630,84.92,87.09,82.18
2025-01-30,83.17,57585510,83.47,84.585,80.86
2025-01-29,82.14,59240550,82.91,82.98,80.26
2025-01-28,82.65,50516700,79.58,83.1699,78.00
2025-01-27,79.14,80910840,77.58,81.03,77.18
2025-01-24,86.75,36239630,88.43,88.83,86.01
2025-01-23,88.34,30240480,86.54,88.38,86.27
2025-01-22,87.80,43132660,86.84,88.91,86.71
2025-01-21,84.52,41725900,84.45,85.15,82.3305
2025-01-17,83.14,43676080,83.69,83.94,81.84
2025-01-16,79.23,46527720,82.01,82.05,79.20
2025-01-15,80.88,53459580,79.31,81.475,78.60
2025-01-14,75.76,62635450,77.48,78.06,74.1909
2025-01-13,76.03,56691010,74.05,76.20,73.34
2025-01-10,76.83,72825830,78.80,78.82,75.23
2025-01-08,80.68,48010620,80.56,81.41,78.44
2025-01-07,80.62,55510480,85.72,85.89,79.705
2025-01-06,85.21,46025000,84.97,86.85,84.03
2025-01-03,82.40,46215780,79.99,82.91,79.62
2025-01-02,78.63,70685330,80.54,81.605,76.531
2024-12-31,79.13,52588840,81.80,82.1599,78.68
2024-12-30,81.26,51422030,81.20,83.06,79.4125
2024-12-27,84.66,51069490,86.37,86.585,82.28
2024-12-26,88.25,29802400,87.62,89.08,86.591
2024-12-24,88.44,24069770,85.95,88.48,85.64
2024-12-23,85.06,41822870,83.45,85.24,81.83
2024-12-20,83.03,72620470,79.06,85.86,78.50
2024-12-19,80.93,56658790,84.27,84.5305,80.75
2024-12-18,82.09,67424580,91.65,92.5673,81.29
2024-12-17,92.04,34584080,92.33,92.9099,91.17
2024-12-16,93.29,34983840,90.72,93.7892,90.67
2024-12-13,89.40,39831850,89.42,90.77,87.85
2024-12-12,87.52,33174150,88.13,88.77,87.2819
2024-12-11,89.29,37448950,86.88,89.62,86.68
2024-12-10,84.76,35770780,86.25,87.12,84.0522
2024-12-09,85.69,34788750,87.25,87.6624,85.08
2024-12-06,87.74,31370340,85.78,87.865,85.72
2024-12-05,85.54,27010200,86.25,86.64,85.34
2024-12-04,86.25,34996280,84.87,86.37,84.5147
2024-12-03,83.21,42405440,81.80,83.33,81.53
2024-12-02,82.48,36819090,80.48,82.9461,80.29
2024-11-29,79.89,20432860,78.13,80.169,77.8501
2024-11-27,77.90,39231820,79.29,79.31,76.3322
2024-11-26,79.83,34873600,79.29,80.25,78.89
2024-11-25,78.61,45757860,80.16,80.87,77.54
2024-11-22,78.25,39967440,77.64,78.61,76.88
2024-11-21,77.96,54932770,78.55,78.88,74.56
2024-11-20,77.20,50630320,77.15,77.29,74.11
2024-11-19,77.29,40044140,74.55,77.55,74.42
